#CSB for Windows/Linux Version 15.7
#                  0001 --> Turn Left
#                  0002 --> Turn Right
#                  0003 --> Move Forward
#                  0004 --> Slide Right
#                  0005 --> Move Backward
#                  0006 --> Slide Left
#                  000b --> Leave Inventory Screen
#                  0046 --> Click mouth to feed
#                  0047 --> Click eye to show skills
#                  0050 --> Click in Viewport
#                  0053 --> Select Inventory Screen
#                  006f --> Select Attack Character/option
#                  008c --> Select Disk option from inventory
#                  0093 --> Freeze Game
#                  0094 --> un-Freeze Game
#                  00c9 --> Resume (at prison door)
#                  00d2 --> First Menu option
#                  00d3 --> Second Menu Option
#                  00d4 --> Third Menu Option
#                  0add --> Mouse button up
#                  6665 --> Version Signiture
#                  6666 --> Graphics Signiture
#                  6667 --> Dungeon Signiture
#                  6668 --> SaveGame Signiture
#                  6669 --> LoadGame Signiture
#                  666a --> CSBGraphic Signiture
#                  ffff --> Drag out of chartacter order area
## Parameters you can change
##   #[No]DMRules
##   #[No]ExtraTicks
##   #[No]SpeedLimit //Quick Play
##   #[No]Sleep //Skip over any delays for flashing buttons, etc
##   #FastVBLnn // Set VBL multiplier (go fast); If not equal one then
##              // Only display every third frame.  99 is a special case
##              // that goes fast AND displays every frame
##   #TimerTrace<On/Off>
##   #AITrace<On/Off>
##   #DSATrace<On/Off>
000005e8 0000 0000 0add c4a1bdce
000005eb 00f3 0067 006f 8215d340
000005ec 0000 0000 0add fd2c5b8b
000005ed 0000 0000 0005 97c38eaf
000005f0 0000 0000 0006 c877e02a
000005f2 0000 0000 0002 eff5369e
000005f4 0108 0067 006f 7a313077
000005f5 0000 0000 0add 8e1b6919
000005f7 0108 005b 006f e3320540
000005f8 0000 0004 2221 176088ac
000005f8 0000 0000 0add 8c9c493b
000005f9 0000 0000 0005 8a226535
000005fc 0000 0000 0005 c08900f9
00000601 00f3 0067 006f 949bd067
00000602 0000 0000 0add 76bda9fb
00000605 00f3 0067 006f 68af8422
00000606 0000 0000 0add c169f016
00000607 0000 0000 0005 355ee7fc
0000060a 0000 0000 0003 b1384527
00000613 0094 0087 0050 7bb4e155
00000614 0000 0000 0add ef2e63f7
0000061a 0064 0011 000d 96e17d25
0000061b 0000 0000 0add 8c353138
00000620 0000 0000 0053 82d97853
00000621 0000 0000 0add 5e1b851c
00000625 0000 0000 000b 9d62166b
00000626 0000 0000 0add bd03efab
00000629 0000 0000 0053 985ee36f
0000062a 0000 0000 0add d6205e1d
0000062c 0000 0000 0033 2bd51a2d
0000062d 0000 0000 0add a006149d
0000062e 0000 0000 000b a4077df8
0000062f 0000 0000 0add 5fd4430d
00000631 0085 0096 0050 2914b95c
00000632 0000 0000 0add e253dd73
00000634 0096 008a 0050 581fb426
00000635 0000 0000 0add c039cb07
00000636 0000 0000 0053 80ead2eb
00000637 0000 0000 0add e9ac838a
0000063c 0000 0000 0039 b43cc34b
0000063d 0000 0000 0add f979a9dd
0000063e 0000 0000 000b 013b8eb6
0000063f 0000 0000 0add d7ddcee8
00000642 0047 008b 0050 762b3140
00000643 0000 0000 0add da18b76f
00000645 0000 0000 0003 d1e142ed
00000647 0000 0000 0002 cb512b45
00000648 0000 0000 0002 c7567767
0000064d 0000 0000 0003 3c7acdce
0000064f 0000 0000 0003 0c17ee48
00000652 0000 0000 0001 be8f9b35
00000654 0000 0000 0003 6afbb54f
00000656 0000 0000 0003 f6c8b834
00000658 0000 0000 0001 c2f414f5
0000065b 0000 0000 0003 dda8945d
0000065c 0000 0000 0001 16915221
0000065f 006f 0071 0050 fe963b80
00000660 0000 0000 0add 381d96ae
00000665 009b 009e 0050 7ff5ab0d
00000666 0000 0000 0add 99138a8a
00000668 0000 0000 0004 1d140573
0000066a 006f 0060 0050 55366ccd
0000066b 0000 0000 0add 6f0deefc
0000066c 006f 0071 0050 76041925
0000066d 0000 0000 0add 942b5604
00000671 009b 009e 0050 b8168c3d
00000672 0000 0000 0add db4bf11c
00000673 0000 0000 0004 9a73a5a6
00000676 006f 0071 0050 a4d1731e
00000677 0000 0000 0add 242439b0
0000067a 009b 009e 0050 a58c1e2b
0000067b 0000 0000 0add 377fa00c
0000067c 0000 0000 0004 61b03eee
0000067e 0000 0000 0004 d596d720
00000682 006f 0071 0050 39541973
00000683 0000 0000 0add 014cfb4c
00000687 009b 009e 0050 5cb09ee7
00000688 0000 0000 0add 14f6719a
00000689 0000 0000 0004 3b03732c
0000068c 006f 0071 0050 4815908a
0000068d 0000 0000 0add ddd45e5f
00000691 009b 009e 0050 85dff96a
00000692 0000 0000 0add 7aaf887d
00000693 0000 0000 0004 cada935f
00000696 006f 0071 0050 71bae555
00000697 0000 0000 0add a2374af2
0000069f 0000 0000 0053 fc330485
000006a0 0000 0000 666a 8094865a
000006a0 0000 0000 0add 5f5079dd
000006a6 0000 0000 0046 f9583632
000006a7 0000 0000 0add 82b6a5b1
000006b2 0000 0000 000b f3d68849
000006b3 0000 0000 0add 79147ee5
000006ba 00a0 009e 0050 fb878666
000006bb 0000 0000 0add eb90279e
000006c7 00a9 0011 000e ee3d2cee
000006c8 0000 0000 0add 3b319edc
000006cc 0000 0000 0009 987fa35c
000006cd 0000 0000 0add 723b52f6
000006d3 0000 0000 0047 5b60236c
000006ea 0000 0000 0add 63204f71
000006ec 0000 0000 000b a6fd8a29
000006ed 0000 0000 0add 1cc39176
000006f0 0000 0000 0053 10a28819
000006f1 0000 0000 0add 0fa3d485
000006f4 0000 0000 002b 10d7a532
000006f5 0000 0000 0add 2d33f61b
000006f7 0000 0000 000b ee38f5c4
000006f8 0000 0000 0add c63d8e58
00000703 00f1 0038 0064 c6af297a
00000704 0000 0000 0add faa5f8ee
0000070a 00f1 0038 0064 2e3ee127
0000070b 0000 0000 0add ed7c3cb3
0000070e 010c 0044 0064 50babad1
0000070f 0000 0000 0add 260f6230
00000718 012b 002d 0064 ff904531
00000719 0000 0000 0add 85f86f35
0000071c 011b 0038 0064 2d8f82e5
0000071d 0000 0000 0add ae5b2af9
0000071f 010c 0044 0064 fab211a0
00000720 0000 0000 0add a0811e1b
0000072a 0139 002d 0064 d401f7d5
0000072b 0000 0000 0add 95ffa213
0000072e 00f1 0038 0064 60c4f8dd
0000072f 0000 0000 0add af224d69
00000731 011b 0038 0064 4eec11fa
00000732 0000 0000 0add 496e1f4b
0000073b 0000 0000 0053 c8131215
0000073c 0000 0000 0add 0edc764c
0000073e 0000 0000 000b 1452bd41
0000073f 0000 0000 0add bc6cc7c3
00000740 0000 0000 0004 8857751a
00000742 0000 0000 0004 2a2ed047
00000746 006f 0071 0050 c8b0da8c
00000747 0000 0000 0add 9a2aa7eb
0000074a 009b 009e 0050 131bdd9c
0000074b 0000 0000 0add 921385c4
0000074d 0000 0000 0004 3fdc56d4
00000750 006f 0071 0050 1c573d9b
00000751 0000 0000 0add 4edcab12
0000075c 0000 0000 0053 caf3d544
0000075d 0000 0000 0add cf88452d
00000760 0000 0000 002c 78f948c5
00000761 0000 0000 0add 68ea5a11
00000762 0000 0000 000b 52958619
00000763 0000 0000 0add 24b5f5f8
00000766 0000 0000 0001 cb0c62aa
0000076a 0000 0000 0002 c737a6bf
0000076c 0000 0000 0004 9e10d25b
0000076f 006f 0071 0050 fa25da6f
00000770 0000 0000 0add 050417af
00000776 009b 009e 0050 03b2790e
00000777 0000 0000 0add 6e8b9929
00000778 0000 0000 0004 4ccdb31c
0000077b 006f 0071 0050 17c43808
0000077c 0000 0000 0add df74d382
00000780 009b 009e 0050 617844e6
00000781 0000 0000 0add 243bf60b
00000781 0090 0097 0050 243bf60b
00000782 0000 0000 0add d0746f4b
00000783 0000 0000 0004 ebc29a80
00000785 0000 0000 0004 e001b57b
00000789 006f 0071 0050 d8196338
0000078a 0000 0000 0add d29c1041
0000078e 009b 009e 0050 86b24661
0000078f 0000 0000 0add 25cd99bf
00000790 0000 0000 0004 ffb080bd
00000792 006f 0071 0050 fc6844cd
00000793 0000 0000 0add d6089356
00000797 009b 009e 0050 372a2e9d
00000798 0000 0000 0add 21fe7718
00000799 0000 0000 0004 2de3b47c
000007a6 0000 0000 0003 cf1c0d3c
000007a8 0000 0000 0001 f2ce9ece
000007a9 0000 0000 0001 ff00a7ca
000007ae 0000 0000 0003 fc47f8a5
000007b0 0000 0000 0001 3cb2b585
000007b9 0000 0000 0053 8e9ef6b9
000007ba 0000 0000 0add 8b52e854
000007bf 0000 0000 2223 fd6043cf
000007bf 6230 ce72 6668 a17374ea
000007c0 49a4 a158 6668 a17374ea
000007c0 0000 0000 0add a17374ea
000007c2 0000 0000 000b fd27d069
000007c3 0000 0000 0add 75dc3edb
000007c6 006f 0052 0050 7cad6584
000007c7 0000 0000 0add 13df3214
000007cb 0000 0000 0002 fbb200d4
000007ce 0000 0000 0002 9a76a6ad
000007d4 0096 0085 0050 ef3b6924
000007d5 0000 0000 0add aedccea9
000007d9 0000 0000 0004 d6524f7b
000007db 0000 0000 0001 149b14cd
000007dd 0093 0086 0050 bc725c6e
000007de 0000 0004 2221 3ebc80ae
000007de 0000 0000 0add ac107735
000007e5 0000 0000 0002 d6deb152
000007e8 0000 0000 0002 971d476f
000007eb 0000 0000 0003 96b0788f
000007ed 0000 0000 0001 4f19f3d1
000007ef 0000 0000 0003 4ea04c63
000007f0 0000 0000 0001 271d646c
000007f3 006f 0071 0050 78cc087b
000007f4 0000 0000 0add 4bb95684
000007f7 009b 009e 0050 208327bf
000007f8 0000 0000 0add 6a6b3c50
000007fa 0000 0000 0004 589e15b7
000007fd 006f 0071 0050 74697b5f
000007fe 0000 0000 0add 2530922d
00000801 009b 009e 0050 9377eff7
00000802 0000 0000 0add 98b92c69
00000803 0000 0000 0004 9c157a7c
00000805 0000 0000 0004 6fc02925
00000808 006f 0071 0050 fc07da70
00000809 0000 0000 0add ebd107f8
0000080c 009b 009e 0050 2c528478
0000080d 0000 0000 0add 8d12d5d4
0000080e 0000 0000 0004 187809b0
00000812 006f 0071 0050 899a41fe
00000813 0000 0000 0add 6748e9df
00000817 009b 009e 0050 790e7463
00000818 0000 0000 0add 3de6b9f1
00000819 0000 0000 0004 07e9d286
0000081c 006f 0071 0050 651299bb
0000081d 0000 0000 0add a600f56c
00000825 009b 009e 0050 a700c1ca
00000826 0000 0000 0add d481c56d
00000827 0000 0000 0004 0f9de393
0000082a 006f 0071 0050 86efd5c7
0000082b 0000 0000 0add 094fe7b7
0000082e 009b 009e 0050 5235fbff
0000082f 0000 0000 0add c9c32dbb
00000830 0000 0000 0004 cdfa9a5b
00000832 0000 0000 0004 ed586530
00000835 006f 0071 0050 c41fab25
00000836 0000 0000 0add 4e006b69
00000839 009b 009e 0050 371a91df
0000083a 0000 0000 0add 4ce00a3b
0000083b 0000 0000 0004 b35aa0e8
0000083e 006f 0071 0050 ab7bf191
0000083f 0000 0000 0add 629c9576
00000842 009b 009e 0050 e8736828
00000843 0000 0000 0add 64f0a990
00000844 0000 0000 0004 6a684d54
00000846 006f 0071 0050 bd0212e8
00000847 0000 0000 0add 69f984ff
0000084a 009b 009e 0050 cc1b984e
0000084b 0000 0000 0add c91cf540
0000084c 0000 0000 0004 404bcbf0
0000084e 0000 0000 0004 210ba875
00000851 006f 0071 0050 8e94a5f8
00000852 0000 0000 0add e5c55696
00000855 009b 009e 0050 716a30bb
00000856 0000 0000 0add c0d82c21
00000857 0000 0000 0004 54c92740
0000085a 006f 0071 0050 eb2702ce
0000085b 0000 0000 0add 3a227cee
0000085e 009b 009e 0050 a9d4d4c4
0000085f 0000 0000 0add 1d1d4497
00000860 0000 0000 0004 e8af0cbe
00000863 006f 0071 0050 47ac675b
00000864 0000 0000 0add 154b7457
00000868 009b 009e 0050 d1480d78
00000869 0000 0000 0add 52704977
0000086a 0000 0000 0004 4e2e0c00
0000086d 0000 0000 0001 ec9b5899
0000086f 0000 0000 0001 94c5c2b4
00000872 0000 0000 0004 35162353
00000874 006f 0071 0050 effb576a
00000875 0000 0000 0add 394cb830
00000878 009b 009e 0050 6b813b6d
00000879 0000 0000 0add 6b5f751c
0000087a 0000 0000 0004 2975baf0
0000087d 006f 0071 0050 45718c06
0000087e 0000 0000 0add b6e25acd
00000882 009b 009e 0050 6c3719aa
00000883 0000 0000 0add 4cfb652c
00000884 0000 0000 0004 b928f20a
00000886 006f 0071 0050 88a7f30d
00000887 0000 0000 0add 080b5504
0000088a 009b 009e 0050 2a3fd4bc
0000088b 0000 0000 0add 59279259
0000088c 0000 0000 0004 1644b361
0000088e 0000 0000 0004 984740cb
00000891 006f 0071 0050 90d4ee25
00000892 0000 0000 0add 375efe38
00000895 009b 009e 0050 56d89916
00000896 0000 0000 0add eb4aa507
00000897 0000 0000 0004 2e90e38c
0000089b 006f 0071 0050 359a0b21
0000089c 0000 0000 0add 5a0fd656
0000089f 009b 009e 0050 981ebb79
000008a0 0000 0000 0add ad5d98fa
000008a1 0000 0000 0004 187b9525
000008a4 006f 0071 0050 8524da0c
000008a5 0000 0000 0add e95259fa
000008a8 009b 009e 0050 5b66f542
000008a9 0000 0000 0add dc3b5048
000008aa 0000 0000 0004 d71469c4
000008ad 006f 0071 0050 a7271a32
000008ae 0000 0000 0add 9a0f75ef
000008b2 009b 009e 0050 2f057abe
000008b3 0000 0000 0add f5889cfa
000008b4 0000 0000 0004 02b5c689
000008b6 0000 0000 0004 e76124a6
000008b9 006f 0071 0050 95729d26
000008ba 0000 0000 0add f39e33cf
000008bd 009b 009e 0050 0d5d6dd5
000008be 0000 0000 0add 7989046d
000008bf 0000 0000 0004 a5692f74
000008c3 0070 0072 0050 67f4ee53
000008c4 0000 0000 0add 8f1f5e4a
000008c9 009b 009e 0050 66fa0f56
000008ca 0000 0000 0add f4c3a73b
000008cc 006f 0077 0050 0ba3fdcd
000008cd 0000 0000 0add 3744682a
000008d0 0000 0000 0053 940c1927
000008d1 0000 0000 0add a77ce516
000008d6 0000 0000 0022 c9d38403
000008d7 0000 0000 0add 8247ca3d
000008d8 0000 0000 000b 11d08b47
000008d9 0000 0000 0add 0677bd37
000008db 0000 0000 0004 2a39650b
000008dd 0000 0000 0004 b96d2cd1
000008e1 0000 0000 0006 555b9d6e
000008e4 0000 0000 0003 d3de7cef
000008e6 0000 0000 0002 baa3d0cf
000008e9 006f 008a 0050 0ebeb69c
000008ea 0000 0000 0add 9aeee7b5
000008ef 0000 0000 0004 0a739191
000008f1 0000 0000 0003 fe4656a1
000008f2 0000 0000 0001 501fe832
000008f5 006f 0071 0050 9ffa12f0
000008f6 0000 0000 0add bcb66cb4
000008f9 009b 009e 0050 7c0761f5
000008fa 0000 0000 0add e5df8265
000008fb 0000 0000 0004 961f03b6
000008fd 006f 0060 0050 79e51f2e
000008fe 0000 0000 0add f78196d2
00000900 006f 0071 0050 ebb0a4e8
00000901 0000 0000 0add 766a7efe
00000904 009b 009e 0050 20c036bf
00000905 0000 0000 0add 6d4233aa
00000906 0000 0000 0004 c29e094f
00000908 006f 0071 0050 7f8204f2
00000909 0000 0000 0add ab192cbe
0000090d 009b 009e 0050 9f2cd04b
0000090e 0000 0000 0add b52d2c43
0000090f 0000 0000 0004 d43e7dbe
00000914 0000 0000 0003 679f91af
00000916 0000 0000 0003 4d79a0cd
00000918 0000 0000 0001 ee55b74d
0000091a 0000 0000 0001 b8acd77c
0000091e 0000 0000 0004 c483e9a6
00000921 006f 0071 0050 70628b5e
00000922 0000 0000 0add 668cea0f
00000925 009b 009e 0050 7db7a084
00000926 0000 0000 0add c0b36a85
00000927 0000 0000 0004 529e96f5
0000092a 006f 0071 0050 2bba7863
0000092b 0000 0000 0add 49404fd8
0000092e 009b 009e 0050 1a5defb4
0000092f 0000 0000 0add af6b0816
00000930 0000 0000 0004 8b1a8268
00000932 006f 0071 0050 62127dd9
00000933 0000 0000 0add b5ba0398
00000936 009b 009e 0050 8d4e1196
00000937 0000 0000 0add b7a8b632
00000938 0000 0000 0004 0676bbf4
0000093b 0000 0000 0004 e027c296
0000093e 006f 0071 0050 12a2eb53
0000093f 0000 0000 0add 7884f37e
00000942 009b 009e 0050 6425eec7
00000943 0000 0000 0add 871b0cb0
00000944 0000 0000 0004 684356c9
00000946 006f 0071 0050 fd301ebd
00000947 0000 0000 0add 2f04b264
0000094b 009b 009e 0050 60bb3a32
0000094c 0000 0000 0add 1b21e6fd
0000094d 0000 0000 0004 16e89ed8
0000094f 0000 0000 0004 c612115c
00000951 006f 0071 0050 de22a5e5
00000952 0000 0000 0add 5305569b
00000955 009b 009e 0050 3bc8321e
00000956 0000 0000 0add 9b2fd4a2
00000957 0000 0000 0004 cd170e5a
00000959 006f 0071 0050 2414c813
0000095a 0000 0000 0add 27ea0940
0000095d 009b 009e 0050 ff80b00c
0000095e 0000 0000 0add 173bfc5b
0000095f 0000 0000 0004 8384285e
00000961 006f 0071 0050 4f7dc302
00000962 0000 0000 0add 4a1c5f32
00000965 009b 009e 0050 a487686e
00000966 0000 0000 0add 22ffa41d
00000967 0000 0000 0004 5fb1eb50
00000969 006f 0071 0050 ca5158a2
0000096a 0000 0000 0add 7787ca5e
0000096d 009b 009e 0050 0620d9d9
0000096e 0000 0000 0add 97f472bc
0000096f 0000 0000 0004 b7d586b5
00000972 0000 0000 0004 f50ae14d
00000975 006f 0071 0050 527466d8
00000976 0000 0000 0add 04ace14e
00000979 009b 009e 0050 b34e6de7
0000097a 0000 0000 0add a1109a78
0000097b 0000 0000 0004 bdc2f8f6
0000097d 006f 0071 0050 f367106c
0000097e 0000 0000 0add 7cdb3d5e
00000981 009b 009e 0050 f151935d
00000982 0000 0000 0add 81820dbc
00000984 0000 0000 0004 cc5dbd6e
00000987 0000 0000 0004 fa06761b
0000098b 0000 0000 0006 70a7ce6e
0000098d 006f 0071 0050 acc716d7
0000098e 0000 0000 0add 6e606d5d
00000990 009b 009e 0050 3961b653
00000991 0000 0000 0add eaf2b05e
00000993 0000 0000 0004 6dab03ae
00000998 0000 0000 0002 4ff19a86
0000099a 0000 0000 0002 2d27f9ba
0000099d 0000 0000 0004 4f9e6856
000009a0 006f 0071 0050 375608be
000009a1 0000 0000 0add 2a7cbada
000009a4 009b 009e 0050 2c4aeadd
000009a5 0000 0000 0add a885db80
000009a6 0000 0000 0004 65ff8b9a
000009a8 006f 0071 0050 3b09e9b1
000009a9 0000 0000 0add 4c6079b9
000009ac 009b 009e 0050 901c206f
000009ad 0000 0000 0add d45f21bf
000009ae 0000 0000 0004 f5660cd3
000009b0 0000 0000 0004 1d5aea55
000009b3 006f 0071 0050 17b053d6
000009b4 0000 0000 0add 65eae298
000009b7 009b 009e 0050 01ea51e4
000009b8 0000 0000 0add 4980c305
000009b9 0000 0000 0004 f4b87050
000009bc 0000 0004 2221 adca4804
000009bc 006f 0071 0050 3717d333
000009bd 0000 0000 0add 7bb8efe8
000009c0 0090 0093 0050 2e3bc957
000009c1 0000 0000 0add 2d183a7e
000009c3 009b 009e 0050 9461f5ce
000009c4 0000 0000 0add f4cf11c7
000009c5 0000 0000 0004 7b1af11a
000009c8 0000 0000 0004 94ebb822
000009ca 006f 0071 0050 380764b0
000009cb 0000 0000 0add e23b2be3
000009ce 009b 009e 0050 e67fc848
000009cf 0000 0000 0add fc5b562f
000009d0 0000 0000 0004 48db05a8
000009d2 006f 0071 0050 422213fa
000009d3 0000 0000 0add 4931caf3
000009d6 009b 009e 0050 eb10959f
000009d7 0000 0000 0add bf6a3a48
000009d8 0000 0000 0004 0f4370e4
000009da 006f 0071 0050 d175dbd6
000009db 0000 0000 0add b97f0564
000009de 009b 009e 0050 ca22f633
000009df 0000 0000 0add 05dbd149
000009e0 0000 0000 0004 56cba1b7
000009e2 006f 0071 0050 a9cb0780
000009e3 0000 0000 0add b6c2ecce
000009e6 009b 009e 0050 562b3943
000009e7 0000 0000 0add 8d710033
000009e8 0000 0000 0004 e49b3fa9
000009eb 006f 0071 0050 20f3d6eb
000009ec 0000 0000 0add f65d2023
000009ef 009b 009e 0050 4f975885
000009f0 0000 0000 0add fd443de4
000009f1 0000 0000 0004 e93f3a99
000009f4 006f 0071 0050 0f562bf1
000009f5 0000 0000 0add 0be4a16a
000009f9 009b 009e 0050 9df695fc
000009fa 0000 0000 0add a6ab89cf
000009fb 0000 0000 0004 180057ae
000009fd 0000 0000 0004 54c4b184
00000a00 006f 0071 0050 7ae5c55f
00000a01 0000 0000 0add 4c30637c
00000a04 009b 009e 0050 5843d497
00000a05 0000 0000 0add b36a070c
00000a06 0000 0000 0004 9aea50fe
00000a08 006f 0071 0050 60482325
00000a09 0000 0000 0add 2f797dcc
00000a0c 009b 009e 0050 973e485e
00000a0d 0000 0000 0add e9b86aa8
00000a0e 0000 0000 0004 66e3b9e7
00000a11 0000 0000 0003 3693f646
00000a13 0000 0000 0003 aa3602c8
00000a15 0000 0000 0001 271b6b06
00000a16 0000 0000 0001 c25b1ba4
00000a18 0000 0000 0004 b35ca639
00000a1b 006f 0071 0050 7bf2a62f
00000a1c 0000 0000 0add 6bcb03ad
00000a1f 009b 009e 0050 fcb2352c
00000a20 0000 0000 0add f330c559
00000a21 0000 0000 0004 5b592a6a
00000a23 006f 0071 0050 4d3eeaea
00000a24 0000 0000 0add 6118430a
00000a28 009b 009e 0050 450287fe
00000a29 0000 0000 0add af5b440a
00000a2a 0000 0000 0004 5c4448c1
00000a2c 0000 0000 0004 6b7564c0
00000a2f 006f 0071 0050 feaba54a
00000a30 0000 0000 0add ff188e65
00000a33 009b 009e 0050 8b2a7c1e
00000a34 0000 0000 0add 8641b6b2
00000a35 0000 0000 0004 a3eca3d1
00000a38 006f 0071 0050 b8221fa2
00000a39 0000 0000 0add 5527b761
00000a3c 009b 009e 0050 b31ca30e
00000a3d 0000 0000 0add 973c983d
00000a3e 0000 0000 0004 dadcd097
00000a40 006f 0071 0050 c2fd64ff
00000a41 0000 0000 0add 48aa3667
00000a44 009b 009e 0050 7ea87ac3
00000a45 0000 0000 0add 27a9cb63
00000a46 0000 0000 0004 381ddc36
00000a49 0070 0072 0050 54816a7c
00000a4a 0000 0000 0add b8e2f2ea
00000a4d 009b 009e 0050 5a74a0a9
00000a4e 0000 0000 0add 87022275
00000a4f 0000 0000 0004 229cefef
00000a52 006f 0071 0050 ba1e1883
00000a53 0000 0000 0add 500d02f6
00000a56 009b 009e 0050 9afaf247
00000a57 0000 0000 0add 50ee0f08
00000a58 0000 0000 0004 62f90321
00000a5b 006f 0071 0050 3e071c87
00000a5c 0000 0000 0add 5014a463
00000a5f 009b 009e 0050 a49548d1
00000a60 0000 0000 0add 27a06cd9
00000a62 0000 0000 0004 a4f7500a
00000a64 0000 0000 0004 171f5e3c
00000a67 006f 0071 0050 009be846
00000a68 4210 c71e 6665 56c51c18
00000a68 0000 0000 0add e5e38043
00000a6b 0087 0093 0050 e006b4e0
00000a6c 0000 0000 0add 136eabbc
00000a6d 009b 009e 0050 f65eb425
00000a6e 0000 0000 0add a7b069ac
00000a6f 0000 0000 0053 ae4a03d9
00000a70 0000 0000 0add 8fe52c08
00000a73 0000 0000 000b 13754176
00000a74 0000 0000 0add 85ec140f
00000a75 0000 0000 0004 db1964ee
00000a77 006f 0071 0050 bfbe096c
00000a78 0000 0000 0add eab0863a
00000a7b 009b 009e 0050 aab6e64f
00000a7c 0000 0004 2221 3ca8000e
00000a7c 0000 0000 0add 3ac71915
00000a7d 0000 0000 0004 dc2f5a0d
00000a7f 0000 0000 0004 096963d3
00000a82 006f 0071 0050 733c9b6c
00000a83 0000 0000 0add cf3f91eb
00000a87 009b 009e 0050 51473c2e
00000a88 0000 0000 0add a541c93a
00000a89 0000 0000 0004 c70a67e2
00000a8b 006f 0071 0050 f05b5f7c
00000a8c 0000 0000 0add 3134dfb1
00000a90 009b 009e 0050 cc5093c8
00000a91 0000 0000 0add 35d1b7c6
00000a92 0000 0000 0004 31dc4de6
00000a96 0000 0000 0001 f3f7b8e3
00000a97 0000 0000 0001 516676a0
00000a9d 0000 0000 0003 4e34a6a8
00000a9f 006f 0071 0050 192f1278
00000aa0 0000 0000 0add 3bc0dd9f
00000aa1 0000 0000 0053 9319e063
00000aa2 0000 0000 0add c892d168
00000aa5 0000 0000 0028 93fec8d9
00000aa6 0000 0000 0add 974670a9
00000aac 0000 0000 001d 18b4e0b4
00000aad 0000 0000 0add b2eb479f
00000aaf 0000 0000 0032 296d7f36
00000ab0 176a 5076 6667 ca700288
00000ab0 0000 0000 0add 31f6a1f3
00000ab2 007a 0065 0051 2f4eb437
00000ab3 0000 0000 0add 7dc76e11
00000ab7 0000 0000 0047 c0334118
00000ac5 0000 0000 0add d2d6850f
00000acc 0000 0000 0034 fdbd1ea9
00000acd 0000 0000 0add 77006d06
00000ad1 0000 0000 0032 c358d45a
00000ad2 0000 0000 0add 871a4010
00000ad4 0000 0000 0add b94a859f
00000ad6 0000 0000 001d 821b19a3
00000ad7 0000 0000 0add b479d00d
00000ad9 0000 0000 0032 00a79910
00000ada 0000 0000 0add 931cd378
00000adb 0000 0000 000b 778a69f6
00000adc 0000 0000 0add dae778b0
00000ade 0000 0004 2221 8f314902
00000ade 0000 0000 0005 ce0dba39
00000ae0 0000 0000 0002 952e0a6b
00000ae2 0000 0000 0002 b9ce4d2a
00000ae5 0000 0000 0001 755102d5
00000ae7 0000 0000 0001 515ede49
00000aea 0000 0000 0004 f71b243c
00000aed 006f 0071 0050 9c60df19
00000aee 0000 0000 0add c67e2c67
00000af1 009b 009e 0050 494dda86
00000af2 0000 0000 0add 46fa7030
00000af3 0000 0000 0004 b0caf350
00000af5 006f 0071 0050 f30a536d
00000af6 0000 0000 0add b8c54b86
00000af9 009b 009e 0050 2a0e5ef6
00000afa 0000 0000 0add f0830f00
00000afb 0000 0000 0004 82aab5b0
00000afd 176a 5076 6667 212006a0
00000afd 006f 0060 0050 2094ea2b
00000afe 0000 0000 0add e919ef1b
00000b00 006f 0071 0050 f2931529
00000b01 0000 0000 0add d007ca4a
00000b04 009b 009e 0050 be71d464
00000b05 0000 0000 0add 01f63063
00000b06 0000 0000 0004 a9ee67b0
00000b08 0000 0000 0004 d2df38a0
00000b0b 006f 0071 0050 e92960d8
00000b0c 0000 0000 0add 0111076d
00000b0f 009b 009e 0050 9025feda
00000b10 0000 0000 0add 7f1ab572
00000b11 0000 0000 0004 94530bab
00000b13 0000 0000 0004 7c30831b
00000b16 0000 0000 0006 c35bbac2
00000b18 006f 0071 0050 9227b7ed
00000b19 0000 0000 0add 115f2fee
00000b1d 009b 009e 0050 9b016335
00000b1e 0000 0000 0add 1ec8a2e0
00000b1f 0000 0000 0004 409cc61e
00000b22 006f 0071 0050 2f311ba1
00000b23 0000 0000 0add 840f0d79
00000b26 009b 009e 0050 2213b8eb
00000b27 0000 0000 0add 2c268e1d
00000b28 0000 0000 0004 214bab6b
00000b2a 006f 0071 0050 f6bda2e2
00000b2b 0000 0000 0add b3155765
00000b2e 009b 009e 0050 65961b34
00000b2f 0000 0000 0add 1e4e9047
00000b30 0000 0000 0004 d582fa41
00000b33 006f 0071 0050 fe105e5e
00000b34 0000 0000 0add 1d305971
00000b37 009b 009e 0050 07a22ff9
00000b38 0000 0000 0add 4c8e9c7d
00000b39 0000 0000 0004 2284f7e8
00000b3c 006f 0071 0050 83a5bb6c
00000b3d 0000 0000 0add 9449387a
00000b40 009b 009e 0050 08f2df3e
00000b41 0000 0000 0add 60b9e93a
00000b44 0000 0000 0004 85688521
00000b46 0000 0000 0004 ae79f0f2
00000b49 006f 0071 0050 31e95eb8
00000b4a 0000 0000 0add dd3ed4cf
00000b4d 009b 009e 0050 c375fed8
00000b4e 0000 0000 0add 194f2c3a
00000b4f 0000 0000 0004 c743b839
00000b51 006f 0071 0050 faa6f3a9
00000b52 0000 0000 0add 27d9b86b
00000b56 009b 009e 0050 aba125bc
00000b57 0000 0000 0add d839cefb
00000b58 0000 0000 0004 5994177d
